GEO,liver,PTK7,COL9A3,FGF19,LAMC1,BCL2L14,TMEM189.....TMEM189.UBE2V1.....UBE2V1,SAGE1,TF,LINC00176,UBXN7,ANAPC1.....LOC101930107.....LOC285074.....LOC730268,MSANTD3-TMEFF1///TMEFF1,KIF6,PRAME,RNF182,CTAG2
GSM1523727,0,1.733180881,1.346666932,1.100951314,2.672805071,1.409378171,2.224939585,0.898795784,1.087943435,1.161200643,1.912985802,1.409378171,1.480968833,1.026133895,1.395995021,0.96780026,1.409378171
GSM1523728,0,1.859174252,1.425951123,1.118595243,2.956720829,2.511767864,2.267482758,0.887996972,0.977594316,1.138424993,1.926665545,1.899666071,1.631508827,1.026991487,1.834584594,0.982190132,1.275055289
GSM1523729,0,1.841294885,1.506512523,1.050224423,2.893748999,2.60642767,2.246242523,0.874879837,0.99816674,1.133671999,1.851635456,1.815659642,1.615054607,0.965722322,1.251731515,0.965527534,1.068660378
GSM1523744,0,1.902994752,1.174742818,1.113137245,2.76668334,2.351166725,2.240063429,0.980257809,1.028003573,1.144099951,2.029253244,1.862490654,1.353283048,0.905190587,1.35629189,0.947262824,1.185866475
GSM1523745,0,1.918933153,2.685662508,1.117697239,3.057646036,2.174627781,2.439034462,0.960474074,0.913271129,1.232214451,1.791711926,2.023784399,2.360936165,0.932919681,1.231568575,0.98014617,1.065631151
GSM1523746,1,2.197745562,2.990611315,1.097598076,3.314831018,2.382820368,2.187186956,0.917580962,1.64985621,1.177416205,2.134458542,2.09180665,2.051046371,1.093872547,2.3347826,1.617353201,2.872859955
GSM1523747,1,2.174994707,2.767163515,1.07137382,3.18264246,2.094419003,2.719130278,1.61765933,1.985555291,1.386563063,2.247294426,2.35963273,1.772167802,1.441398382,1.773608208,2.028010607,1.268152356
GSM1523748,0,1.877833247,1.565707922,1.021115065,2.782300472,2.669349194,2.14712286,0.893466651,1.039355397,1.187835455,1.871748209,1.920796514,1.491690636,0.971301854,1.191759467,0.930824161,1.092919827
GSM1523765,0,1.936457992,1.941722035,1.113528967,2.87633729,2.316804647,2.321853399,0.869740367,1.06460619,1.351473331,2.235745907,2.043348312,1.569843769,0.997347891,1.405852556,0.917219996,1.298170447
GSM1523768,0,2.198607445,2.061202049,1.075516939,3.142885685,2.387459993,2.47317934,0.905507863,0.895809293,1.136466503,1.876266122,2.061454058,1.91135776,1.001887083,1.261824727,1.13988924,1.15253067
